Description,Our_Price,Revenue,Competitor_Price,Price_Gap,Gap_Pct
  DOORMAT UNION JACK GUNS AND ROSES,6.75,1084.75,6.326572901109849,0.4234270988901514,6.6928352128191095
 3 STRIPEY MICE FELTCRAFT,1.95,1243.05,2.389446448749668,-0.4394464487496681,-18.391140298608423
 4 PURPLE FLOCK DINNER CANDLES,2.55,535.96,2.8457922758095413,-0.2957922758095415,-10.394022020647926
 50'S CHRISTMAS GIFT BAG LARGE,1.25,2272.25,1.3116615526231479,-0.061661552623147875,-4.701026152655996
 ANIMAL STICKERS,0.21,80.85,0.1738819572464558,0.03611804275354419,20.77158741798116
 BLACK PIRATE TREASURE CHEST,1.65,77.55,1.3661954792773672,0.28380452072263274,20.77334649597492
 BROWN  PIRATE TREASURE CHEST ,1.65,59.4,1.2854189800387645,0.3645810199612354,28.362815986289597
 Bank Charges,15.0,30.0,17.746321093312012,-2.7463210933120124,-15.47543898744742
 CAMPHOR WOOD PORTOBELLO MUSHROOM,1.25,53.75,1.3131968823395055,-0.06319688233950549,-4.81244535297084
 CHERRY BLOSSOM  DECORATIVE FLASK,3.75,1068.6000000000001,4.140136083367585,-0.3901360833675849,-9.423267146577665
 DOLLY GIRL BEAKER,1.25,2759.5,0.9503653089348765,0.2996346910651235,31.528370011836778
 FAIRY CAKE CANDLES,1.37,202.05,1.691888248730966,-0.321888248730966,-19.025384742308162
 FLAMINGO LIGHTS,4.95,1523.8500000000001,5.772795535981045,-0.8227955359810446,-14.252982473615644
 HOME SWEET HOME  BLACKBOARD,6.35,722.3100000000001,5.436676676403526,0.9133233235964733,16.799294457963896
 I LOVE LONDON MINI BACKPACK,4.15,1454.0,3.489786806954734,0.6602131930452662,18.918439135867526
 I LOVE LONDON MINI RUCKSACK,4.15,4.15,3.4930643579458756,0.6569356420541248,18.80685766810323
 IVORY PAPER CUP CAKE CASES ,0.55,521.1,0.4961666168138729,0.053833383186127126,10.849859978854976
 LARGE SKULL WINDMILL,2.1,16.8,2.12599425321385,-0.02599425321384974,-1.2226868992968547
 NEW BAROQUE BLACK BOXES,12.75,76.5,12.316149493843488,0.4338505061565119,3.522614810524848
 NINE DRAWER OFFICE TIDY,14.95,792.85,13.389437822980364,1.5605621770196354,11.655173261578124
 OVAL WALL MIRROR DIAMANTE ,9.95,1258.95,10.506468151243837,-0.5564681512438376,-5.296433998878668
 PAINT YOUR OWN CANVAS SET,1.65,724.8,1.3525824350379345,0.2974175649620654,21.988867906134242
 PEACE WOODEN BLOCK LETTERS,6.95,917.15,6.227702653659883,0.7222973463401168,11.598134761871435
 RED SPOT GIFT BAG LARGE,1.25,2041.0,1.1664761520585574,0.08352384794144263,7.1603562399490635
 RED/WHITE DOT MINI CASES,7.95,3536.13,7.775378187262718,0.17462181273728206,2.2458304732153067
 RIDGED GLASS T-LIGHT HOLDER,0.65,531.8000000000001,0.7426821874527295,-0.09268218745272949,-12.479387417464965
 SET 2 TEA TOWELS I LOVE LONDON ,2.95,10278.800000000001,2.5070188286835804,0.4429811713164198,17.669638785641926
 SET Of 6 SOLDIER SKITTLES,3.75,60.0,3.776689572025522,-0.0266895720255218,-0.7066922371172697
 SILVER CHERRY LIGHTS,6.75,1594.8000000000002,7.061899169909394,-0.3118991699093936,-4.416647171038487
 SILVER T-LIGHT SETTING,6.75,240.15,5.219270142929993,1.530729857070007,29.328427445809236
 SPACEBOY BABY GIFT SET,16.95,7065.499999999999,17.861442619864686,-0.9114426198646868,-5.102849972773317
